year,month,month_number,line,users
2020,march,3,5,283727
2020,march,3,6,459989
2020,march,3,7,194938
2020,march,3,8,84351
2020,march,3,9,190931
2020,march,3,10,305489
2020,march,3,11,24635
2020,march,3,12,154347
2020,march,3,R,23338
2020,april,4,1,68797
2020,april,4,2,21240
2020,april,4,3,48138
2020,april,4,4,23018
2020,april,4,5,51783
2020,april,4,6,89019
2020,april,4,7,37908
2020,april,4,8,11070
2020,april,4,9,35414
2020,april,4,10,52937
2020,april,4,11,6675
2020,april,4,12,36817
2020,april,4,R,3379
2020,may,5,1,140483
2020,may,5,2,47262
2020,may,5,3,98120
2020,may,5,4,48152
2020,may,5,5,106962
2020,may,5,6,175333
2020,may,5,7,73467
2020,may,5,8,19420
2020,may,5,9,69795
2020,may,5,10,102426
2020,may,5,11,12805
2020,may,5,12,62965
2020,may,5,R,6816
2020,june,6,1,319276
2020,june,6,2,128187
2020,june,6,3,227462
2020,june,6,4,115968
2020,june,6,5,241025
2020,june,6,6,375460
2020,june,6,7,157460
2020,june,6,8,43587
2020,june,6,9,154935
2020,june,6,10,233731
2020,june,6,11,24983
2020,june,6,12,136133
2020,june,6,R,19123
