index,id,CODIGOEMPRESA,cod_Est,Ent_2014,Util_2014,Ent_2015,Util_2015,Ent_2016,Util_2016,Ent_2017,Util_2017,Ent_2018,Util_2018,Ent_2019,Util_2019,DISTRITO,BARRIO,X,Y,long,lat
068,161,705,705,1786653.0,3921283.3096224875,1793324.0,3952420.0,1856345.0,4089276.4398000007,1981926.0,4381334.8167,2101108.0,3750763.2766086287,2223411,4296938.841417851,15,152.0,445734,4475912,-3.6397818380016287,40.432078512843056
069,116,1021,1021,2161753.0,10870952.888897425,2283363.0,11796031.0,2451143.0,12512873.5004,2509810.0,13119881.5519,2582458.0,10690570.812452516,2819379,11775867.043290107,2,0.0,431138,4466601,-3.810843590635873,40.347122019766466
070,153,1209,1209,564990.0,1047009.0,546488.0,1034823.0,751237.0,1427748.0,823627.0,1573105.0,809068.0,1579557.0,868447,1699083.0,4,0.0,426690,4462623,-3.8627564627687216,40.310908140506996
071,392,1509,1509,1714412.0,3316088.0,2122106.0,4078848.0,2052565.0,3909977.0,2599476.0,2677993.0,2298597.0,4415898.0,2896413,5600117.0,2,0.0,904328,8950163,-7.127830036705456,80.84998274947449
073,7,1224,1224,508236.0,972728.0,532588.0,1056184.0,570623.0,1139004.0,616683.0,1174854.149647273,497109.0,994610.0,624257,1258199.0,3,0.0,438128,4464745,-3.72836382458036,40.33094985336204
075,364,709,709,5182377.0,9223965.092716243,5157407.0,9125243.0,5379519.0,9662161.283920135,5894423.0,8748494.742925934,6243033.0,10660361.920728626,6676181,12614588.066342756,34,349.0,882502,8935249,-7.383734314241824,80.71423155369686
079,132,1212,1212,1082845.0,2175139.0,1125942.0,2289591.0,1192373.0,2449189.0,1286478.0,2629170.0,1292218.0,2652435.0,1307434,2678221.0,7,0.0,430711,4460001,-3.8151556332483216,40.28763127181934
083,574,938,938,14434516.0,48205049.100091085,14515162.0,48939255.0,14622412.0,49704231.76640491,15382916.0,51221753.266354084,15933414.0,55772334.92989056,15987759,58637078.334941655,28,292.0,1762254,17903717,-14.802952899907467,161.72752179796913
084,181,605,605,5346289.0,10294997.334354602,5377790.0,10424962.0,5751176.0,10967708.167034505,6095608.0,12480563.61238572,6362925.0,11844336.588333346,6653723,12829765.003647141,4,51.0,882400,8945518,-7.385882918798598,80.80673316472088
085,497,514,514,4305736.0,7109362.928321142,4374899.0,7194858.0,3949542.0,6150617.6510638315,4711498.0,15145857.235317934,5026943.0,9595100.059136167,5397582,10509752.06904943,72,724.0,1794551,17875267,-14.419910251706538,161.47337450150178
087,437,1141,1141,9136254.0,24136305.235926345,9395171.0,25748414.0,8298281.0,23095037.437191088,10117756.0,19469840.180186417,10741440.0,29704551.96727324,11244879,30261993.772664405,28,294.0,1762636,17907452,-14.798798145864396,161.7611957881292
088,387,1515,1515,8413131.0,22122253.51006032,8359481.0,21903695.0,8643531.0,22944785.182493348,8478230.0,20453416.311293256,9721870.0,23887865.67201621,10138739,25095632.539387584,45,459.0,1336776,13429595,-10.924526493106285,121.31295443706708
089,82,611,611,4554958.0,8967343.6139,4605719.0,9280607.0,5169591.0,10521213.1783,5135429.0,2743983.7922057947,5485635.0,10894821.87201782,5649788,11041996.863835843,3,36.0,443225,4473352,-3.6691318751478943,40.408849200009
091,282,247,247,3490917.0,6901873.698785236,3631942.0,7134336.0,2803751.0,5584739.251807222,3908849.0,7261755.994600001,4217029.0,7485066.770081355,4391700,8339670.405826906,26,269.0,891179,8942578,-7.2821801279366305,80.78084460195154
093,133,1213,1213,856953.0,1707823.0,853647.0,1712415.0,969981.0,1944831.0,1007859.0,2036042.0,988043.0,1999808.0,1020045,2068408.0,7,0.0,431569,4459929,-3.805054881674004,40.287053333332466
094,55,2052,2052,2033531.0,11607032.90663863,2047490.0,11885469.0,2070516.0,12336683.197099999,2229144.0,13171781.065699998,2369612.0,17238498.922875807,2535217,16609631.527207367,16,172.0,882602,8966975,-7.3854862342157315,81.0000414710166
098,62,252,252,836938.0,1208773.871161489,850432.0,1146286.0,935956.0,1311328.7734343477,1045189.0,1450721.0302853363,1089729.0,1905068.233764429,1080832,2068723.827376733,15,152.0,445891,4475180,-3.6378686526265533,40.42549446489356
100,145,1018,1018,1033457.0,1842741.572903697,1186356.0,2129898.0,1300461.0,2280873.389084002,1424159.0,2459122.549795454,1507207.0,2483874.8183532017,1611830,3010188.6790371393,10,107.0,433570,4470841,-3.7826512815723348,40.38551478662031
101,200,724,724,20542450.0,63993348.52522163,21089867.0,64843754.0,22973508.0,69231659.27468677,22578284.0,47648039.75709844,24608265.0,67325353.51788351,24737912,75361068.65658894,12,123.0,881804,8955581,-7.393841519199643,80.89734291569674
102,461,1021,1021,5494011.0,15486300.125009276,5468732.0,15704223.0,5544565.0,16025537.332025664,5220494.0,15565475.19713096,5894621.0,16672975.204266038,5990378,17549267.38787961,11,120.0,883838,8952496,-7.369574900306854,80.86969533298179
103,451,1047,1047,6835808.0,18841449.139362883,7338277.0,18889148.0,7535117.0,20093612.380869366,7950907.0,19933591.04928766,8596662.0,22047611.702428598,9204902,24840099.689457968,22,226.0,875357,8942726,-7.468603153149003,80.78106916510193
104,138,1223,1223,624216.0,1232781.0,573195.0,1137818.0,606539.0,1201640.0,674789.0,1338870.0,534411.0,1064785.0,664735,1325997.0,2,0.0,439095,4464199,-3.716928999245772,40.32610228244911
105,372,1632,1632,13615073.0,43722245.22639032,13591340.0,43648462.0,13803399.0,46115520.3796784,14917266.0,48777225.4454,15615676.0,52155320.50085513,15396847,50197478.602938294,15,163.0,1771886,17899805,-14.689051433597726,161.69295467149718
109,144,1104,1104,695572.0,1359776.4412956985,704127.0,1313678.0,784399.0,1482353.3509430082,949186.0,1698379.906095645,1025390.0,1560020.5746345997,1075071,1992875.4463273531,11,116.0,437365,4469694,-3.7378310153689913,40.37547603345111
110,105,619,619,8825460.0,24202445.344127417,8894564.0,23580096.0,9247029.0,24259002.141099997,9858108.0,26073036.4465,10270638.0,28574835.666850597,10441480,27867963.747515406,8,86.0,878974,8951625,-7.4268354935496665,80.8615022965535
113,223,1144,1144,11390347.0,24989453.671714902,11667728.0,25361868.0,8792331.0,18439537.16360246,12753197.0,22696561.7548,13336357.0,26047179.20450222,13947147,27671883.751578745,6,73.0,1325509,13421522,-11.056624232583964,121.23946602166103
